capcode,regio,discipline,plaats,omschrijving
000011003,Brabant Noord,Brandweer,Brabant-Noord,110271X Privé-oproep
000100000,Amsterdam-Amstelland,Brandweer,,Proefalarm
000100001,Amsterdam-Amstelland,Brandweer,Aalsmeer,Bevelvoerders
000100002,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100003,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100004,Amsterdam-Amstelland,Brandweer,Aalsmeer,Korpsalarm
000100005,Amsterdam-Amstelland,Brandweer,Aalsmeer,Officier van Dienst Aalsmeer/UitHoorn
000100006,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100007,Amsterdam-Amstelland,Brandweer,Aalsmeer,Chauffeurs
000100008,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100009,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100010,Amsterdam-Amstelland,Brandweer,Aalsmeer,Tankautospuit-611
000100011,Amsterdam-Amstelland,Brandweer,Aalsmeer,Tankautospuit-612
000100012,Amsterdam-Amstelland,Brandweer,Aalsmeer,Hulpverleningsvoertuig-680
000100013,Amsterdam-Amstelland,Brandweer,Aalsmeer,Brandweervaartuig-672
000100014,Amsterdam-Amstelland,Brandweer,Aalsmeer,Dienstbus-666
000100015,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Aalsmeer
000100016,Amsterdam-Amstelland,Brandweer,Aalsmeer,Dompelpomphaakarmbak-935
000100017,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100018,Amsterdam-Amstelland,Brandweer,Aalsmeer,Schuimblusaanhanger-670
000100019,Amsterdam-Amstelland,Brandweer,Aalsmeer,Lichtkrant Kazerne
000100020,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100021,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100022,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Aalsmeer
000100023,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Aalsmeer
000100024,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Aalsmeer
000100025,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Aalsmeer
000100026,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Aalsmeer
000100027,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100028,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Aalsmeer
000100029,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100030,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Aalsmeer
000100031,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100032,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100033,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100034,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100035,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100036,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100037,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100038,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100039,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100040,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100041,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100042,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100043,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100044,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100045,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100046,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100047,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100048,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100049,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100050,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100051,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100052,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100053,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100054,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100055,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100056,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100057,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100058,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100059,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100060,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100061,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100062,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100063,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100064,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100065,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100066,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100067,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100068,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100069,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100070,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100071,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100072,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100073,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100074,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100075,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100076,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100077,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100078,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100079,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100080,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100081,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100082,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100083,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100084,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100085,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100086,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100087,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100088,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100089,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100090,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
